	title	release_date	poster_url	overview
85	Spider-Man: Across the Spider-Verse	2023-05-31	https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg	After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.
86	Bob Marley: One Love	2024-02-14	https://image.tmdb.org/t/p/w500/mKWalirPreEdCKDJjc5TKeOP2xi.jpg	Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.
87	Haunting on Fraternity Row	2018-11-02	https://image.tmdb.org/t/p/w500/7rzRdxknt16DqX7XIVoR9ARzPrZ.jpg	"A fraternity house throws their big ""Winter Luau"" party but when fraternity brothers and coeds begin dying horrible deaths they discover an evil entity has taken over the house."
88	Freelance	2023-10-05	https://image.tmdb.org/t/p/w500/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg	An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but a military coup breaks out in the middle of the interview, they are forced to escape into the jungle where they must survive.
89	Patriots Time	2022-04-28	https://image.tmdb.org/t/p/w500/yrafAmPQgr5RWEe67BrbHu7jiB.jpg	The brothers Sultan and Bekzat Ibrayev are serving faithfully in the Armed Forces of Kazakhstan, and at the same time they are in family disagreement. Sultan is a valiant intelligence officer and Bekzat is a talented fighter pilot. While an international terrorist organization prepares a carefully planned attack on the country's strategically important facilities, the brothers have to face not only a mortal threat, but also face a family confrontation related to their dead father. Circumstances force them to unite in order to save human lives, and the brothers eventually understand that their homeland and family are the most valuable thing they have.
90	Alibi.com 2	2023-02-08	https://image.tmdb.org/t/p/w500/9gteYoeW0wOvYHnnvXJpq0RiGV8.jpg	After closing his agency Alibi.com and promising Flo that he would never lie to her again, Greg's new life became quiet, too quiet... Not for long! When he decides to propose to Flo, Greg is up against the wall and has to introduce his family. But with his crooked father and his ex-charm actress mother, this could ruin his future union. He has no choice but to reopen his agency with his former accomplices for an ultimate Alibi and to find more presentable fake parents.
91	The Inventor	2023-09-15	https://image.tmdb.org/t/p/w500/7Rpo5S3GjORu3yjah0o9eLcllSj.jpg	"The insatiably curious and headstrong inventor Leonardo da Vinci leaves Italy to join the French court, where he can experiment freely, inventing flying contraptions, incredible machines, and study the human body. There, joined in his adventure by the audacious princess Marguerite, Leonardo will uncover the answer to the ultimate question – ""What is the meaning of it all?"""
92	Avatar: The Way of Water	2022-12-14	https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg	Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.
93	The Accursed	2021-11-12	https://image.tmdb.org/t/p/w500/dEEXkhekQd7W1S9gZ9EawXNkaEF.jpg	Hana spends twenty years suppressing a maleficent curse that was placed upon her bloodline, only to have a family member knowingly release it forcing her to kill or to be killed.
94	The Tiger's Apprentice	2024-02-02	https://image.tmdb.org/t/p/w500/iiid1xMhoAcW83VJ9LdAqf4Vtbr.jpg	After the death of his grandmother, Tom Lee discovers he is part of a long lineage of magical protectors known as the Guardians. With guidance from a mythical tiger named Hu and the other Zodiac animal warriors, Tom trains to take on an evil force that threatens humanity.
